t,x,y
9.000000000E-1,6.840890084E2,-1.632822316E2
9.041666667E-1,6.754371849E2,-1.634380073E2
9.083333333E-1,6.670047475E2,-1.637279417E2
9.125000000E-1,6.587646185E2,-1.637971171E2
9.166666667E-1,6.507793155E2,-1.644766117E2
9.208333333E-1,6.418519704E2,-1.642166657E2
9.250000000E-1,6.335970428E2,-1.644364918E2
9.291666667E-1,6.246971472E2,-1.641750903E2
9.333333333E-1,6.169230487E2,-1.644147536E2
9.375000000E-1,6.080281929E2,-1.639200550E2
9.416666667E-1,6.002367305E2,-1.641630917E2
9.458333333E-1,5.914307464E2,-1.635402735E2
9.500000000E-1,5.834595889E2,-1.638672910E2
9.541666667E-1,5.752095998E2,-1.629251389E2
9.583333333E-1,5.672265578E2,-1.630998680E2
9.625000000E-1,5.588030224E2,-1.621255234E2
9.666666667E-1,5.508531601E2,-1.619657001E2
9.708333333E-1,5.424374195E2,-1.610029596E2
9.750000000E-1,5.347096898E2,-1.606925672E2
9.791666667E-1,5.263188387E2,-1.600850023E2
9.833333333E-1,5.186572220E2,-1.600661057E2
9.875000000E-1,5.102071758E2,-1.592468737E2
9.916666667E-1,5.024687433E2,-1.594670073E2
9.958333333E-1,4.940883855E2,-1.589150920E2
1.000000000E0,4.865475921E2,-1.590016879E2
1.004166667E0,4.784710057E2,-1.587978944E2
1.008333333E0,4.707507677E2,-1.590793019E2
1.012500000E0,4.628737979E2,-1.585821771E2
1.016666667E0,4.549885334E2,-1.589659002E2
1.020833333E0,4.467618147E2,-1.585976850E2
1.025000000E0,4.393458842E2,-1.589559958E2
1.029166667E0,4.315390858E2,-1.586059368E2
1.033333333E0,4.242069097E2,-1.589350670E2
1.037500000E0,4.164148263E2,-1.584323146E2
1.041666667E0,4.092320984E2,-1.586871423E2
1.045833333E0,4.016569098E2,-1.581978759E2
1.050000000E0,3.943181917E2,-1.580764986E2
1.054166667E0,3.866149071E2,-1.573896239E2
1.058333333E0,3.795303378E2,-1.574848154E2
1.062500000E0,3.723044426E2,-1.564934733E2
1.066666667E0,3.651633442E2,-1.562541032E2
1.070833333E0,3.579696214E2,-1.554278117E2
1.075000000E0,3.504782129E2,-1.548819265E2
1.079166667E0,3.436315963E2,-1.540759164E2
1.083333333E0,3.367258406E2,-1.537913055E2
1.087500000E0,3.301279679E2,-1.530566594E2
1.091666667E0,3.232892670E2,-1.526302889E2
1.095833333E0,3.159093716E2,-1.519843584E2
1.100000000E0,3.088615924E2,-1.516424437E2
1.104166667E0,3.010698216E2,-1.509360726E2
1.108333333E0,2.951570766E2,-1.508622275E2
1.112500000E0,2.883002428E2,-1.500719178E2
1.116666667E0,2.817780638E2,-1.499552305E2
