t,x,y
1.140416667E1,1.427961079E3,-1.031260842E2
1.140833333E1,1.427626322E3,-1.035557935E2
1.141250000E1,1.426970024E3,-1.032423269E2
1.141666667E1,1.425650159E3,-1.032590857E2
1.142083333E1,1.424702691E3,-1.036704384E2
1.142500000E1,1.423788197E3,-1.030745084E2
1.142916667E1,1.422680192E3,-1.036298830E2
1.143333333E1,1.421554568E3,-1.032735756E2
1.143750000E1,1.420229419E3,-1.036988884E2
1.144166667E1,1.418817893E3,-1.031709634E2
1.144583333E1,1.417394923E3,-1.036017075E2
1.145000000E1,1.416113632E3,-1.032775533E2
1.145416667E1,1.414415070E3,-1.039074549E2
1.145833333E1,1.412861553E3,-1.040635611E2
1.146250000E1,1.410854965E3,-1.045687327E2
1.146666667E1,1.409158549E3,-1.043085273E2
1.147083333E1,1.407274890E3,-1.050834235E2
1.147500000E1,1.405186935E3,-1.051728812E2
1.147916667E1,1.403207696E3,-1.060398435E2
1.148333333E1,1.401219881E3,-1.061424616E2
1.148750000E1,1.398840714E3,-1.069039286E2
1.149166667E1,1.396252995E3,-1.070038552E2
1.149583333E1,1.394018486E3,-1.077826281E2
1.150000000E1,1.391709543E3,-1.080093084E2
1.150416667E1,1.388979409E3,-1.087939797E2
1.150833333E1,1.386239902E3,-1.088269970E2
1.151250000E1,1.383393049E3,-1.094351545E2
1.151666667E1,1.380399981E3,-1.095415807E2
1.152083333E1,1.377419861E3,-1.102598821E2
1.152500000E1,1.374319545E3,-1.101532000E2
1.152916667E1,1.371244217E3,-1.108799103E2
1.153333333E1,1.368239562E3,-1.109866770E2
1.153750000E1,1.364881090E3,-1.115761026E2
1.154166667E1,1.361283824E3,-1.114524767E2
1.154583333E1,1.357859327E3,-1.122905555E2
1.155000000E1,1.354362935E3,-1.123700789E2
1.155416667E1,1.350575704E3,-1.131406047E2
1.155833333E1,1.347190638E3,-1.130867471E2
1.156250000E1,1.343252824E3,-1.140159211E2
1.156666667E1,1.339478096E3,-1.139392966E2
1.157083333E1,1.335538622E3,-1.148058898E2
1.157500000E1,1.331806727E3,-1.149257535E2
1.157916667E1,1.327491523E3,-1.160463125E2
1.158333333E1,1.323730953E3,-1.161185816E2
1.158750000E1,1.319122188E3,-1.171966052E2
1.159166667E1,1.314780434E3,-1.170991405E2
1.159583333E1,1.310018202E3,-1.180673554E2
