Column1;Column2;Column3
;;
t;x;y
6.000000000E-1;2.522000466E2;-3.800014456E2
6.083333333E-1;2.406131487E2;-3.760778681E2
6.166666667E-1;2.272526523E2;-3.743736364E2
6.250000000E-1;2.146711567E2;-3.741502505E2
6.333333333E-1;2.008893920E2;-3.730321550E2
6.416666667E-1;1.877882724E2;-3.719723430E2
6.500000000E-1;1.741181595E2;-3.705906743E2
6.583333333E-1;1.601836077E2;-3.700331003E2
6.666666667E-1;1.466177815E2;-3.687111822E2
6.750000000E-1;1.335136141E2;-3.677790850E2
6.833333333E-1;1.211895908E2;-3.664376175E2
6.916666667E-1;1.083793841E2;-3.647132537E2
7.000000000E-1;9.696534752E1;-3.623955746E2
7.083333333E-1;8.479711923E1;-3.614212535E2
7.166666667E-1;7.305186690E1;-3.592813670E2
7.250000000E-1;6.110051548E1;-3.587772453E2
7.333333333E-1;4.973593865E1;-3.565652718E2
7.416666667E-1;3.776086508E1;-3.549583908E2
7.500000000E-1;2.646396946E1;-3.531180374E2
7.583333333E-1;1.465242512E1;-3.515966493E2
7.666666667E-1;2.506033175E0;-3.502812242E2
7.750000000E-1;-8.427124725E0;-3.489075714E2
7.833333333E-1;-1.925664729E1;-3.469733833E2
7.916666667E-1;-3.009142730E1;-3.453471957E2
8.000000000E-1;-4.100264026E1;-3.435984852E2
8.083333333E-1;-5.127250197E1;-3.415341515E2
8.166666667E-1;-6.116310629E1;-3.399719166E2
8.250000000E-1;-7.128400741E1;-3.380573719E2
8.333333333E-1;-8.090163335E1;-3.359333406E2
8.416666667E-1;-8.968596303E1;-3.340998418E2
8.500000000E-1;-9.918519069E1;-3.322642362E2
8.583333333E-1;-1.088113051E2;-3.307324953E2
8.666666667E-1;-1.186208532E2;-3.285999243E2
8.750000000E-1;-1.271197736E2;-3.269703894E2
8.833333333E-1;-1.356781602E2;-3.253826660E2
8.916666667E-1;-1.443724277E2;-3.234350050E2
9.000000000E-1;-1.521419942E2;-3.227889591E2
9.083333333E-1;-1.596459998E2;-3.208541546E2
9.166666667E-1;-1.663898425E2;-3.201010560E2
9.250000000E-1;-1.724628984E2;-3.187281272E2
9.333333333E-1;-1.783598116E2;-3.171778432E2
9.416666667E-1;-1.854638839E2;-3.160186775E2
9.500000000E-1;-1.915919417E2;-3.146851134E2
9.583333333E-1;-1.982352991E2;-3.140523852E2
9.666666667E-1;-2.048981579E2;-3.124529241E2
9.750000000E-1;-2.125347460E2;-3.101616593E2
9.833333333E-1;-2.184835112E2;-3.092524851E2
9.916666667E-1;-2.251171997E2;-3.080784829E2
1.000000000E0;-2.312781637E2;-3.062787828E2
1.008333333E0;-2.370701536E2;-3.049789490E2
1.016666667E0;-2.430035738E2;-3.034859017E2
1.025000000E0;-2.478050591E2;-3.023891579E2
1.033333333E0;-2.524353958E2;-3.013216067E2
1.041666667E0;-2.566493399E2;-3.004423193E2
1.050000000E0;-2.601177773E2;-2.996161324E2
1.058333333E0;-2.643128345E2;-2.984445300E2
1.066666667E0;-2.682289180E2;-2.977703806E2
1.075000000E0;-2.721817521E2;-2.965851596E2
1.083333333E0;-2.761278546E2;-2.955611400E2
1.091666667E0;-2.792563819E2;-2.952188392E2
1.100000000E0;-2.825509585E2;-2.941668994E2
1.108333333E0;-2.853855549E2;-2.935215874E2
1.116666667E0;-2.873748151E2;-2.924588448E2
1.125000000E0;-2.891356612E2;-2.918451183E2
1.133333333E0;-2.909920430E2;-2.912743100E2
1.141666667E0;-2.920075459E2;-2.907350056E2
1.150000000E0;-2.931720417E2;-2.900848205E2
1.158333333E0;-2.937363133E2;-2.894898616E2
1.166666667E0;-2.944094418E2;-2.889688830E2
1.175000000E0;-2.943530454E2;-2.890243610E2
1.183333333E0;-2.943224176E2;-2.890359743E2
1.191666667E0;-2.944540712E2;-2.885782000E2
1.200000000E0;-2.944063029E2;-2.883987198E2
1.208333333E0;-2.941405943E2;-2.884597123E2
